					
	04. 03 Narrs				
				마티암	(어울리는 색의 머리를 칠 생각인지?)
				미겔	(후후 기다리십쇼, 마티암씨... 제가 동료를 만들어드리겠습니다)
				마티암	백발로 임팩트를 주는 것도 괜찮을 것 같네. (몇몇 단원을 바라보다)
				미겔	호~오? (백발인 단원들을 <잘릴 머리들!> 후보에 올린다.) 갈색 머리는 어떠십니까~?
				마티암	갈색이라.. 나와 맞으려나. 그대와 같은 '고동색' 머리는 어울릴 것도 같군.
				미겔	(제 머리카락을 끌어다가 당신 얼굴 가까이 대본다.) 오! 오오오오! 제법... 어울리시는데요~?
				마티암	(곱슬곱슬한 고동색 머리와 합쳐진다) 머리를 자를 의향이 있는지? (농담)
				미겔	(음음! 곱슬곱슬한 고동색 머리로 아예 덮어본다. 원래 머리보다 조금 더 생기 있는 느낌일지도!) 후후, 마티암씨께서 원하신다면요! 싹둑~ 잘라버립죠!
				마티암	(눈을 깜빡이며 바라본다. 당신의 색안경에 비친 자신의 모습을 ...) 아무리 그래도 이 긴 곱슬머리를 싹둑 자를 순 없지. 아깝지 않나.
				미겔	(당신이 색안경 속의 스스로를 보고 있다는 걸 깨닫고 안경알을 더 가까이 내밀어준다.) 어떻습니까, 잘 어울리지요~? 후후, 어차피 또 기를 머리인데두요? 아까우십니까~?
				마티암	너무 까매서 색은 잘 안 보이네. 새로움을 주기 위해 머리를 자르는 건 좋지만 말이야. 오직 내 머리의 장식을 위해 자른다고 생각하니 좀 그래. 열심히 기른 머리 아닌가.
				미겔	으잉? 그렇습니까? 잘 비춰지는 곳 없으려나~ (두리번두리번...) 하하, 그냥 생각 없이 쭉 기른거라서 말이죠! 마티암씨 마음이 불편하시다면야 어쩔 수 없지요~! (제 머리 꽁지를 가져다가 당신 머리에 얹는다.) 요런 기분 내기용으로 만족하시길!
				마티암	나중에 호숫가라도 가서 봐야겠어. (정령은 뭐.. 저번처럼 무시하지 않을까) 머리 스타일에는 관심이 없는 건가. 곱슬이라 할 수 있는 머리는 한정되어 있겠지만.. 예전처럼 머리를 푸는 것도 어울릴 것 같은데. (히죽 웃는다.) 새로운 마티암이로군.
				미겔	한번 지금이라도 가보시겠습니까~? 나스에 도착하긴 했지만, 근처에 호숫가가 있을 겁니다요! (관심이 없냐는 말에 제 머리카락을 손가락으로 꼬아본다.) 아무래도 크게 신경 쓰진 않습죠~ 그, 꾸미는 법도 잘 모르고 말입니다? 마티암씨는 멋쟁이셨으니 이것저것 아시려나요! (어울린다는 얘기를 듣고 그런가요, 색안경이랑은 별로 안 어울린답니다, 하고 덧붙인다.) 후후, 마티암 콜드듀가 되셨습니다~? (머리카락으로 장난스레 이마를 간지럽히다가 놔준다.)
					
	04. 05 Narrs (Before the Catastrophe ~ After the Final Battle)				
				마티암	부활은 이런 기분이로군..
				미겔	(목 더듬더듬. 여전히 떨어져있나?)
				마티암	('마티'가 당신을 바라본다)
				미겔	마티씨! (반갑다는 얼굴로 들어올린다.) 자자, 죽으신 소감이 어떻게 됩니까? 사후 세계는 구경하고 오셨습니까~?
				마티암	너무 한순간이어서 제대로 즐기지도 못했네. (픽 웃는다) 듀라한 재봉사도 죽을 때가 오는군. '진짜' 죽음 말이야.
				미겔	후후, 마티암씨의 사후세계는 어떤 모습일지 궁금했는데... 아쉽습니다! (이어지는 말엔 잠깐 말이 없다가 마티의 이마를 꾹 누른다.) 당연한 말씀을~ 듀라한도 '진짜'로 죽는다는 사실을 모르셨단 말입니까~?
				마티암	언뜻 내 이름을 부르는 그대를 본 것도 같네. 역시 꽃보다 바드인가. (잠시 눈이 커지다가, 금세 아까의 표정으로 돌아온다) 5년 동안 한 번도 죽어본 적 없었거든. 죽지도 못하는 몸 아닐까 싶었지. 죽었는데 또 죽을 수는 없는 노릇이니까.
				미겔	그야 실제로 외쳤으니... 꽃보다 바드으~?! (입꼬리를 씰룩이면서도 다시 춉, 하고 손날로 마티의 머리를 가볍게 친다.) 꽃보다 바드 같은 소리 하십니다! 하하하, 왜 스스로 죽지 않는 몸이 아닌지 의심하셨는지 알 것도 같습니다요~ 이렇게 쉽게 죽으실 줄 알았으면 그냥 제가 마티암씨 심장을 노릴 걸 그랬습니다~?
				마티암	(오늘은 머리 수난시대다) 그랬다면 가장 두려운 것이 그대가 되었을지도 모르겠어. (후후후. 기분 좋은 듯 웃었다) 그렇지만 난 정말 죽었고, 다시 살아났고... 머리는 그대로지. 나쁘지만은 않군.
				미겔	(암씨도 공평하게 춉!) 그렇게라도 해서 마티암씨의 사후세계에 들어갈 수 있다면야~ 언제든 노려드리지요! (두려운 것이 된다는데 왜 그리 웃으십니까, 하고 물어보면서도 웃는다.) 은근 목이 붙어서 살아나길 기대하신 건 아니구요~?
				마티암	(어디를 춉!한걸까) 인상 깊은 쪽이 될 생각은 없나? 나도 그대의 가장 두려운 것이 되도록 노력해보지. 그래야 복제 미겔이 아닌 진짜 그대를 만날 수 있을 테니까. (여전히 웃음을 흘리다) 하하.. 사후 세계에 그대가 두 명 있는 모습을 상상했더니 원. 부정할 수는 없네. 마법같이 문제가 해결된다면 좋잖아? 그래도 이렇게 살아났다는 건.. 적어도 주문을 해제했을 때 '살아있는 상태'도 해제되진 않는다는 거지.
				미겔	(음! 아마도 암(Arm)씨니까 팔이려나? 팔을 춉! 했다.) ... (자기가 당신에게 인상 깊은 사람이 될 수 있냐는 표정이다. 이어지는 말엔 웃는다. 당신의 그 플라잉 나이프는 제법 무서웠다는 손짓이 이어진다. 그러고는 입모양으로 묻는다.) '왜 제가 두 명이나 있습니까?' (두 번이나 이어서 죽었으면서. 안경 너머로 흘겨보는 시선이 이어지는 듯 싶었으나 입꼬리를 올린다. 뭐가 해제되어야 하냐는 눈치다.)
				마티암	...미겔. (말없이 손짓하는 당신을 가만히 바라본다. 당신의 뜻이 제대로 전달되었을지는 모르겠지만) 애썼군. (어색한 손길로 당신의 머리를 쓰다듬는다. 당신이 했던 것처럼) 인상 깊었네. 그대의 노래와 행동들이. 그래서 만약.. 인상 깊은 것과 두려운 것. 그 두 개가 같은 사람이면 어떻게 될까 싶었던 거야. 실없는 소리지만. (그래도 조금 눈치가 보이는 듯 머쓱하게 웃다가) 정말 방법이 없을 때는. 해제라도 시도해봐야 하니까.
				미겔	(그냥 자기가 욕심 부려서 목소리가 나갔다는 손짓으로 고개를 젓다가 쓰다듬을 받는다. 목이 쉰 웃음소리가 짧게 나온다. 누가 봐도 어색한 손길이잖습니까, 마티암씨.) ... (작가 마티암과 재봉사 마티암 사이에서 고민하던 자신이 잠시 떠오른다. 이윽고 제 가슴팍에 손을 얹었다가 당신 가슴팍에 손을 얹는다. 당신의 사후 세계라면 두 명의 자신이, 기꺼이 두 개의 심장을 가지고 가겠다는 의미다.) '둘 중 마티암씨는 어느 쪽이 좋으실 것 같으세요?' (장난스런 얼굴로 묻고는 실이 없으면 바늘도 없나, 재봉사에 맞춘 농담 역시 입모양으로 전한다. 무슨 방법? 뭘 해제하고 싶은 건데요? 사망 방지 마법? 낯에 의문이 가득하다.)
				마티암	(미묘한 표정으로 몇 번 더 쓰다듬다 멈춘다.) 하하, 목소리가 없는 미겔이라.. 너무 어색하군. 원래 이때 였으면 누가 봐도 너무 어색한 손길 아닙니까~하고 말을 걸었을 텐데. (당신의 행동을 바라보다 가슴팍에 손이 닿자 시선을 옮긴다. 무슨 말인지 잘 모르겠지만, 미겔이라면 자신의 말과 관련된 농담을 던졌겠지. 픽 웃곤) 고르기 어렵군. 만약 그런 죽음이 온다면.. 인상 깊은 미겔과 노래를 하다, 두려운 미겔과 칼을 맞부딪히겠네. 이야기꾼과 재봉사, 검사와 검사. 이 둘은 다르면서도 같은 이야기니까. (조용한 공백을 채우려 애쓴다. 이 빈자리에 있던 당신의 목소리를 상상하며) ...그러고보니 제대로 말을 한 적이 없었네. 이 저주라는 것.. 다름아닌 내가 내린 마법이거든.
				미겔	(미묘한 표정인 당신을 보며 고개가 점점 옆으로 기운다. 왜 그런 표정인지 모르겠다는 눈치다. 곧 금방 돌아올 거니 걱정하지 말라는 듯한 표정으로 방긋 웃는다. 시선을 옮기면서 웃는 당신을 보면 혼자 후, 하고 한숨을 쉬며 고개를 젓는다. 역시 제가 전하려던 게 무슨 의미인지 눈치를 못 챘다고 생각한 모양이다.) ...!!! !!! (손을 올려 기쁘게 박수를 친다. 당신의 선택이 흡족스러운 모양이다. 다르면서도 같은 이야기. 그건 미겔도 무척 좋아하는 요소다. 게다가 노래와 검을 둘 다 누릴 수 있다니, 당신의 사후 세계가 미겔에게는 낙원일지도 모른다. 미안하게도. 이어지는 얘기에는 입이 떡 벌어진다.) ... ... (자기 목을 댕강, 자르는 시늉과 함께 고개를 옆으로 픽 떨군다.) '이걸 마티암씨가 내린 마법이라고요?' ... '왜?'
